#N S_wide S_narrow rel_err_wide rel_err_narrow
66100 0.9405909143 0.9473714070 -0.0041569086 0.0030218837
66600 0.9452076623 0.9460397898 0.0007310363 0.0016120447
67100 0.9627957291 0.9458643815 0.0193522611 0.0014263326
67600 0.9553868217 0.9456360947 0.0115081398 0.0011846357
68100 0.9268150752 0.9417217327 -0.0187419678 -0.0029596636
68600 0.9526559459 0.9468658892 0.0086168469 0.0024866708
69100 0.9447777560 0.9447358900 0.0002758765 0.0002315512
69600 0.9540544335 0.9433369253 0.0100974845 -0.0012495915
70100 0.9548774044 0.9448644793 0.0109687983 0.0003676941
70600 0.9504558408 0.9430063739 0.0062875033 -0.0015995601
71100 0.9373451754 0.9434423347 -0.0075933086 -0.0011379901
71600 0.9517102082 0.9426850559 0.0076155547 -0.0019397530
72100 0.9461890152 0.9418689320 0.0017700359 -0.0028038175
72600 0.9359229778 0.9424758953 -0.0090990489 -0.0021612000
73100 0.9504019635 0.9446990424 0.0062304612 0.0001925391
73600 0.9299434392 0.9449558424 -0.0154298375 0.0004644240
74100 0.9383632436 0.9462044534 -0.0065154371 0.0017863810
74600 0.9269913277 0.9426441019 -0.0185553619 -0.0019831127
75100 0.9345419369 0.9430093209 -0.0105612150 -0.0015964400
75600 0.9580676305 0.9414186508 0.0143464246 -0.0032805492
76100 0.9493454965 0.9436596583 0.0051119351 -0.0009079004
76600 0.9407372284 0.9424934726 -0.0040019997 -0.0021425903
77100 0.9356452501 0.9444876783 -0.0093930909 -0.0000312409
77600 0.9491611082 0.9460373711 0.0049167155 0.0016094839
78100 0.9582714799 0.9455345711 0.0145622485 0.0010771484
78600 0.9567521834 0.9427321883 0.0129537055 -0.0018898519
79100 0.9332513060 0.9433154235 -0.0119276600 -0.0012723563
79600 0.9534044380 0.9438285176 0.0094093069 -0.0007291221
80100 0.9292468523 0.9456616729 -0.0161673433 0.0012117164
80600 0.9594276599 0.9456575682 0.0157863448 0.0012073707
81100 0.9512348804 0.9451294698 0.0071123052 0.0006482507
81600 0.9734050337 0.9458026961 0.0305847773 0.0013610236
82100 0.9420169491 0.9457673569 -0.0026471057 0.0013236085
82600 0.9427882445 0.9442039952 -0.0018305028 -0.0003315882
83100 0.9412103942 0.9480896510 -0.0035010392 0.0037823188
83600 0.9417447005 0.9444976077 -0.0029353467 -0.0000207283
84100 0.9339493030 0.9445303210 -0.0111886613 0.0000139067
84600 0.9462419321 0.9448433806 0.0018260612 0.0003453560
85100 0.9421675114 0.9437720329 -0.0024876990 -0.0007889248
85600 0.9431380487 0.9450058411 -0.0014601504 0.0005173598
86100 0.9501948207 0.9444105691 0.0060111503 -0.0001128797
86600 0.9316859849 0.9443706697 -0.0135849312 -0.0001551228
87100 0.9324767367 0.9453788749 -0.0127477291 0.0009123063
87600 0.9399174589 0.9435502283 -0.0048699241 -0.0010237586
88100 0.9504739725 0.9465947787 0.0063067001 0.0021996347
88600 0.9421473963 0.9491252822 -0.0025089958 0.0048787850
89100 0.9422070030 0.9445987654 -0.0024458876 0.0000863717
89600 0.9463891719 0.9453822545 0.0019819501 0.0009158844
90100 0.9707029417 0.9447142064 0.0277239591 0.0002085939
90600 0.9468888263 0.9447847682 0.0025109553 0.0002833006
91100 0.9294191222 0.9437156970 -0.0159849539 -0.0008485699
91600 0.9345350118 0.9427538210 -0.0105685468 -0.0018669485
92100 0.9373785807 0.9422774159 -0.0075579411 -0.0023713386
92600 0.9446010495 0.9425755940 0.0000887900 -0.0020556449
93100 0.9266835066 0.9468447905 -0.0188812650 0.0024643328
93600 0.9334704682 0.9431623932 -0.0116956238 -0.0014343760
94100 0.9357426710 0.9445403826 -0.0092899473 0.0000245593
94600 0.9481651831 0.9446485201 0.0038622878 0.0001390490
95100 0.9467581607 0.9436251314 0.0023726141 -0.0009444555
95600 0.9432302404 0.9429524059 -0.0013625432 -0.0016566983
96100 0.9356923564 0.9456945890 -0.0093432175 0.0012465661
96600 0.9345730277 0.9443711180 -0.0105282978 -0.0001546482
97100 0.9504864740 0.9451982492 0.0063199359 0.0007210703
97600 0.9557776075 0.9436091189 0.0119218811 -0.0009614087
98100 0.9430769189 0.9445973496 -0.0015248711 0.0000848727
98600 0.9433232726 0.9462981744 -0.0012640461 0.0018856073
99100 0.9447443920 0.9473133199 0.0002405526 0.0029603844
99600 0.9403921465 0.9441892570 -0.0043673524 -0.0003471921
